plot,treatment,duration,phen.ach
1,control,permanent,43.97
1,control,reverse,36.5
2,fertilizer,permanent,14.21
2,fertilizer,reverse,28.64
3,control,permanent,42.38
3,control,reverse,44.44
4,fertilizer,permanent,18.46
4,fertilizer,reverse,23.01
5,both,permanent,27.39
5,both,reverse,36.58
6,both,permanent,16.92
6,both,reverse,41.05
7,exclosure,permanent,57.88
7,exclosure,reverse,56.12
8,fertilizer,permanent,21.21
8,fertilizer,reverse,35.64
9,control,permanent,42.81
9,control,reverse,43.58
10,fertilizer,permanent,17.05
10,fertilizer,reverse,23.62
11,exclosure,permanent,32.16
11,exclosure,reverse,40.02
12,control,permanent,39.42
12,control,reverse,50.54
13,exclosure,permanent,48.05
13,exclosure,reverse,53.93
14,exclosure,permanent,57.71
14,exclosure,reverse,46.29
15,both,permanent,21.04
15,both,reverse,50.75
16,both,permanent,16.23
16,both,reverse,29.84
